case_number,county,quotes
1,NY,"""For these reasons, the People's refusal to provide the underlying [police] disciplinary records or adequately describe the misconduct at issue constitutes a failure to meet their discovery obligations."""
2,Kings,"""This court finds, based on the facts presented in Defendant’s undisputed motion, that the People’s original COC was invalid [...] due to the People’s failure to timely disclose a number of discoverable materials."""
3,Kings,"""Accordingly, this court finds that the disclosure of BWC audit trails is mandatory automatic discovery under CPL 245.20(1), and the People’s COC is invalidated for their nondisclosure."""
4,Kings,"""Accordingly, this court concludes that the People have not made diligent attempts to ensure that all discoverable material in this matter was disclosed to [name redacted], and the People’s COC is invalid."""
5,Kings,"""Absent a reasonable explanation for the delay, the Court finds that the People did not exercise due diligence to satisfy its automatic initial discovery burden."""
6,NY,"""This COC was also improper and invalid because it was not filed in good faith or reasonable under the circumstances of this case."""
7,Kings,"""[T]he court finds that the People’s failure to disclose the totality of [police disciplinary] material available for testifying officers renders the COC invalid."""
8,NY,"""[T]he Court finds that due diligence was not properly set forth. The COC is, therefore, invalid."""
9,Queens,"""In consideration of the various due diligence factors cited in [appellate precedent], the Court notes that the People have not set forth any efforts undertaken to contact New York State Police, the law enforcement agency that conducts the [tests that generate] these records. Specifically, the People have failed to advise this Court what if any, records they reviewed nor what communications, if any, they had with NYPD, NYS Police or [a relevant laboratory] regarding same."""
10,Kings,"""In support of their contention that they exercised due diligence in obtaining initial discovery, the People only offer conclusory allegations."""
11,NY,"""Here, it is undisputed that the [evidence] constituted discoverable material. Yet, such materials were not disclosed to the Defendant prior to, or contemporaneously with, the [date redacted] COC, even though the [evidence] were in the possession of the prosecutor, and the [other evidence] were in possession of law enforcement, and thus the prosecutor."""
12,Kings,"""The People have not established to the court’s satisfaction that they have acted diligently and have made good faith and reasonable efforts in complying with their discovery obligations."""
13,Kings,"""The People, in their Affirmation, have not established to the court’s satisfaction that they have acted diligently and have made good faith and reasonable efforts in complying with their discovery obligations."""
14,Kings,"""This court finds it unacceptable that no effort was made to obtain this [evidence] at the inception of this case or preserve this evidence and turn it over to defendant."""
14,Kings,"""This court finds that the People made their initial record regarding the [evidence] in bad faith and did not make diligent inquiries as to whether an additional [evidence] was in fact outstanding when this issue was brought to their attention by the defense counsel."""
14,Kings,"""This court finds that the People did not exercise due diligence in making reasonable inquiries to obtain and disclose the [evidence] between Officer [name redacted] and the complainant."""
15,NY,"""Unfortunately, here the sheer volume and nature of material the People failed to disclose prior to the initial COC undermines any reasonable belief that the People used due diligence in providing discovery to the defense."""
15,NY,"""Most of the undisclosed material was identified by defense counsel in his review of the existing discovery, and thus should have been discovered by the People."""
16,NY,"""Therefore, the People failed to exercise due diligence with respect to disclosing the [evidence 1]"""
16,NY,"""Therefore, the People’s failed to exercise due diligence in disclosing complete and unredacted [evidence 2]"""
17,Queens,"""While the omission to include [evidence] in this list may be in good faith, the People failed to act with due diligence and reasonableness - the cornerstone of Article 245."""
17,Queens,"""Based on the incongruency in the People's assertions, as a whole, the People have failed to act in good faith and with reasonableness and due diligence in turning over discoverable materials."""
18,Kings,"""The People have not provided the court with enough information to determine that they have acted with due diligence prior to filing their COC."""
18,Kings,"""The People failed to demonstrate due diligence regarding this item of discovery."""
18,Kings,"""The People have not established a diligent effort in ascertaining and disclosing this material."""
19,Kings,"""The People’s failure to exercise due diligence to produce the [evidence] in this matter renders the People’s COC invalid."""
19,Kings,"""[T]his court rejects the People’s argument that they 'made a good faith legal interpretation of the statute' in failing to disclose the materials referenced in the [evidence]."""
20,NY,"""Here, it is undisputed that the [evidence] constituted discoverable material [...]. Yet, [evidence] was not disclosed to Defendant prior to, or contemporaneously with, the [redacted date] COC, even though the prosecutor was in possession of such information. [...] With respect to [other evidence], contrary to the People's contentions, they have failed to demonstrate that they made diligent and good faith efforts prior to the filing of their initial COC."""
21,Queens,"""Here, the People failed to indicate what efforts, if any, were made to acquire this [evidence] prior to the filing of their certificate of compliance. The People do not argue that this case is particularly complex, do not explain the discovery lapse, and did not take efforts to provide the completed [evidence] once they were apprised of the missing portions."""
21,Queens,"""As a result, the Court finds that the filing of the certificate of compliance on [date redacted], was not reasonable under the circumstances."""
22,Richmond,"""The failure to disclose an [evidence] in a DWI case is not a de minimis oversight, nor is it consistent with due diligence."""
23,Kings,"""The People’s failure to disclose the underlying disciplinary records for the three officers who were listed as potential witnesses, and the People’s failure to establish any due diligence, renders the COC invalid on this ground."""
