case_number,county,quotes
1,Kings,"""Because the People failed to oppose, this court is required to summarily grant Defendant’s motion seeking to dismiss this matter."""
1,Kings,"""This court finds, based on the facts presented in Defendant’s undisputed motion, that the People’s original COC was invalid, and the SOR was illusory, due to the People’s failure to timely disclose a number of discoverable materials."""
1,Kings,"""This court further finds that the People’s filings of SCOC1, SCOC2, and SCOC3 did not stop the speedy trial clock because additional discoverable material remained undisclosed."""
2,Kings,"""Despite the fact that the People did not exercise due diligence with regard to ascertaining the existence of any such photographs prior to filing the COC, the court will not invalidate a COC where it is confirmed that the sought after material does not exist."""
2,Kings,"""Accordingly, the People failure to timely disclose the photograph renders their COC invalid."""
2,Kings,"""This court concludes that 'obtains' does not require the information to have come from outside the police."""
2,Kings,"""Accordingly, this court finds that the disclosure of BWC audit trails is mandatory automatic discovery under CPL 245.20(1), and the People’s COC is invalidated for their nondisclosure."""
2,Kings,"""In light of the foregoing deficiencies, the People’s COC is invalid."""
3,Kings,"""This court finds that the People’s Certificate of Compliance (“COC”) is invalid, and thus, the People’s Statement of Readiness (“SOR”) is illusory."""
3,Kings,"""The People do not explain their delay."""
3,Kings,"""The People have not adequately satisfied their discovery obligations pursuant to CPL 245.20, nor have they demonstrated diligent efforts to do so prior to the filing of the COC."""
3,Kings,"""Accordingly, this court concludes that the People have not made diligent attempts to ensure that all discoverable material in this matter was disclosed to Defendant, and the People’s COC is invalid."""
3,Kings,"""This belated attempt to obtain information does not satisfy the People’s duty to make diligent effort to ascertain the existence of this witness information and make it available."""
4,NY,"""Contrary to the People’s argument, underlying documents relating to substantiated police misconduct allegations are discoverable under CPL 245.20 (1) (k)."""
4,NY,"""Here, the People have undisputedly made no effort to request the underlying documentation for Officer [name redacted]’s substantiated disciplinary records—even after defense counsel noticed them of the omission."""
4,NY,"""Nor is this a scenario where the People assert a delay or other roadblock in obtaining the documents."""
4,NY,"""And they never moved for a protective order and make no claim for 'special circumstances.'"""
4,NY,"""Rather, the People withhold such material based on an erroneous reading of the law that contradicts the express legislative intent of CPL 245 that there should be a 'presumption in favor of disclosure' CPL 245.20 (7)."""
5,Kings,"""For the reasons stated below the Court finds that the initial COC, supplemental COC and SOR filed herein are illusory."""
5,Kings,"""The fact that the People knew this material existed but failed to obtain the records and make them available to the defense impedes the People's ability to file a valid certificate of compliance and enter a declaration of readiness."""
5,Kings,"""Absent a reasonable explanation for the delay, the Court finds that the People did not exercise due diligence to satisfy its automatic initial discovery burden."""
5,Kings,"""The People have failed to demonstrate that they made diligent, good faith efforts to disclose the eyewitnesses' contact information as required by CPL 245.20(1)(c)."""
5,Kings,"""The People failed to demonstrate that they exercised due diligence in obtaining the [evidence] and associated reports related to the instant matter."""
6,NY,"""After a discovery conference pursuant to Criminal Procedure Law § 245.35 before this court on [date redacted], the court found that the People's COC was invalid and improper."""
6,NY,"""This COC was also improper and invalid because it was not filed in good faith or reasonable under the circumstances of this case."""
6,NY,"""For the reasons stated by the court during the [date redacted], hearing, this COC was also improper and invalid because it was not filed in good faith or reasonable under the circumstances of this case."""
6,NY,"""On [date redacted], this court held a discovery compliance hearing and ruled that the People's COCs were improper as not filed in good faith or reasonable under the circumstances of this case because the People would not disclose discoverable materials regarding the testifying officers' disciplinary records."""
6,NY,"""On [date redacted], the People had failed to file any motion arguing special circumstances regarding their statements of readiness."""
