judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Maura Keating,Family Court Judge NYC,,2023-04-19,2032-12-31,Bronx County,Bronx County Family Court,2023,,,,,,
Audrey E Stone,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx County,Bronx County Supreme Court,2019,,,,,,
Lauren T Broderick,Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Family Court,2023,,,,,,
Shari R Michels,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Bronx County,Bronx County Supreme Court,2007,,,,,,
Joseph M Sorrentino,Criminal Court Judge NYC,,2024-09-04,2026-12-31,Bronx County,NYC Criminal Ct - Bronx County,2024,,,,,,
Samuel L David,Criminal Court Judge NYC,,2024-01-25,2031-12-31,Bronx County,NYC Criminal Ct - Bronx County,2024,,,,,,
Malaika N Scott-Mclaughlin,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Sup Ct Civil Term,2019,,,,,,
Tara A Collins,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx County,Bronx County Supreme Court,2017,,,,,,
Ralph Fabrizio,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2026-12-31,Bronx County,Bronx County Sup Ct Crim Term,2002,,,,,,
Janette Cortes-Gomez,Family Court Judge NYC,,2023-02-15,2029-07-21,Bronx County,Bronx County Family Court,2023,,,,,,
Seth A Steed,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Bronx County,NYC Criminal Ct - Bronx County,2021,,,,,,
Michael A Liddie,Family Court Judge NYC,,2024-01-25,2033-12-31,Bronx County,Bronx County Family Court,2024,,,,,,
Rantideva Singh,Family Court Judge NYC,,2024-01-25,2033-12-31,Bronx County,Bronx County Family Court,2024,,,,,,
