statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Family Court Judge NYC,,2023-04-19,2032-12-31,Bronx,Bronx County Family Court,2023,,,,,,,Maura A Keating
City Court Judge,,2023-01-01,2032-12-31,Schenectady,Schenectady City Court,2023,,,,,,,Katherine A McGuirl
County Surrogate Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Washington,Washington County Court (M-B),2007,4,Superior Criminal Courts,,,,,Kelly S McKeighan
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,2013,,,,,,,Jane C Tully
Family Court Judge NYC,,2023-02-15,2032-12-31,Kings,Kings Supreme Criminal,2023,,,,,,,Nisha Menon
Criminal Court Judge NYC,,2024-09-04,2033-12-31,New York,New York County Criminal Court,2024,,,,,,,Kacie A Lally
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2019,,,,,,,Audrey E Stone
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,2015,,,,,,,Heidi C Cesare
City Court Judge,,2025-01-01,2034-12-31,Broome,Binghamton City Court,2025,,,,,,,Judith E Osburn
Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2023,,,,,,,Lauren T Broderick
City Court Judge,,2026-01-01,2035-12-31,Jefferson,Watertown City Court,2025,,,,,,,Mary E Doheny
City Court Judge,,2021-01-05,2031-01-04,Westchester,New Rochelle City Court,2021,,,,,,,Eileen Songer McCarthy
Criminal Court Judge NYC,ACT SUP CT JUS,2024-02-26,2027-11-30,New York,New York County Criminal Court,2024,,,,,,,Julieta V Lozano
Criminal Court Judge NYC,,2022-10-11,2029-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,,Srividya Pappachan
Family Court Judge,,2025-01-01,2034-12-31,Onondaga,Onondaga County Supreme Court,2025,,,,,,,Christina MEl Bayadi
City Court Judge,,2025-07-31,2035-07-30,Westchester,White Plains City Court,2025,,,,,,,Maryjo L Blanchard
City Court Judge,,2022-01-01,2027-12-31,Herkimer,Little Falls City Court,2022,,,,,,,Joshua P Bannister
Family Court Judge NYC,,2025-12-23,2035-12-22,Bronx,Bronx County Family Court,2023,,,,,,,Grace ObomaLayat
Family Court Judge NYC,,2021-04-01,2031-03-31,New York,New York County Family Court,2013,,,,,,,Valerie A Pels
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens,Queens Supreme Criminal Term,2009,,,,,,,Michael J Yavinsky
County Surrogate Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Franklin,Franklin County Court (M-B),2022,,,,,,,Craig P Carriero
District Court Judge,ACT CNTY JGE,2022-01-01,2027-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2016,Suffolk,CJ/Outlying Districts,,,,,Stephen L Ukeiley
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,,Scott M Krompinger
Family Court Judge NYC,,2025-09-14,2035-09-13,Queens,Queens County Family Court,2019,,,,,,,Elizabeth L Fassler
Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Chautauqua,Chautauqua County Surrogate,1999,,,,,,,Stephen W Cass
County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Cattaraugus,Cattaraugus County Court (M-B),2007,,,,,,,Ronald D Ploetz
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2030-12-31,Bronx,Bronx County Supreme Court,1999,,,,,,,Judith S Lieb
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,1999,,,,,,,Danny K Chun
County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Schenectady,Schenectady County Court,2011,,,,,,,Matthew J Sypniewski
City Court Judge,,2020-01-01,2029-12-31,Westchester,Westchester County Family Ct,2020,,,,,,,Jared R Rice
Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Bronx,Bronx County Supreme Court,2007,,,,,,,Shari R Michels
County Judge,ACT SUP CT JUS,2019-01-01,2026-12-31,Suffolk,Suffolk County Supreme Court,2009,,,,,,,James F Quinn
City Court Judge,,2019-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2019,,,,,,,Michael C Lopez
City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Erie,Buffalo City Court,2020,,,,,,,Phillip DabneyJr
City Court Judge,,2026-01-01,2035-12-31,Erie,Buffalo City Court,2025,,,,,,,John P Feroleto
City Court Judge,,2026-01-01,2035-12-31,Chemung,Elmira City Court,2026,,,,,,,Daniel Cain
County Surrogate Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Putnam,Putnam County Court (M-B),2021,,,,,,,Anthony R Mole
Surrogate Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Ulster,Ulster County Surrogate's Ct,2017,,,,,,,Sara W McGinty
Surrogate Court Judge,,2026-01-01,2030-12-31,Westchester,Westchester County Surrogate,2015,,,,,,,Brandon R Sall
City Court Judge,,2026-01-01,2029-12-31,Orange,Middletown City Court,2005,,,,,,,Steven W Brockett
County Judge,ACT SUP CT JUS,2025-01-01,2029-12-31,Suffolk,Suffolk County Court,2011,,,,,,,Philip Goglas
City Court Judge,,2024-01-01,2029-12-31,Dutchess,Beacon City Court,2001,,,,,,,Rebecca S Mensch
Family Court Judge,ACT SUP CT JUS,2026-01-01,2033-12-31,Suffolk,Suffolk County Court,2016,,,,,,,George F Harkin
City Court Judge,,2023-02-04,2029-02-03,Steuben,Hornell City Court,2023,,,,,,,John N Dagon
Civil Court Judge NYC,,2024-01-01,2033-12-31,New York,New York County Criminal Court,2024,,,,,,,Marva C Brown
Criminal Court Judge NYC,,2024-09-04,2026-12-31,Bronx,NYC Criminal Ct - Bronx County,2024,,,,,,,Joseph M Sorrentino
Family Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Broome,Broome County Family Court,2022,,,,,,,Brett S Noonan
City Court Judge,,2021-01-01,2026-12-31,Ontario,Canandaigua City Court,2021,,,,,,,David J Whitcomb
