judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Maura A Keating,Family Court Judge NYC,,2023-04-19,2032-12-31,Bronx,Bronx County Family Court,2023,,,,,,
Katherine A McGuirl,City Court Judge,,2023-01-01,2032-12-31,Schenectady,Schenectady City Court,2023,,,,,,
Kelly S McKeighan,County Surrogate Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Washington,Washington County Court (M-B),2007,4,Superior Criminal Courts,,,,
Jane C Tully,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,2013,,,,,,
Nisha Menon,Family Court Judge NYC,,2023-02-15,2032-12-31,Kings,Kings Supreme Criminal,2023,,,,,,
Kacie A Lally,Criminal Court Judge NYC,,2024-09-04,2033-12-31,New York,New York County Criminal Court,2024,,,,,,
Audrey E Stone,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2019,,,,,,
Heidi C Cesare,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,2015,,,,,,
Judith E Osburn,City Court Judge,,2025-01-01,2034-12-31,Broome,Binghamton City Court,2025,,,,,,
Lauren T Broderick,Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2023,,,,,,
Mary E Doheny,City Court Judge,,2026-01-01,2035-12-31,Jefferson,Watertown City Court,2025,,,,,,
Eileen Songer McCarthy,City Court Judge,,2021-01-05,2031-01-04,Westchester,New Rochelle City Court,2021,,,,,,
Julieta V Lozano,Criminal Court Judge NYC,ACT SUP CT JUS,2024-02-26,2027-11-30,New York,New York County Criminal Court,2024,,,,,,
Srividya Pappachan,Criminal Court Judge NYC,,2022-10-11,2029-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,
Christina MEl Bayadi,Family Court Judge,,2025-01-01,2034-12-31,Onondaga,Onondaga County Supreme Court,2025,,,,,,
Maryjo L Blanchard,City Court Judge,,2025-07-31,2035-07-30,Westchester,White Plains City Court,2025,,,,,,
Joshua P Bannister,City Court Judge,,2022-01-01,2027-12-31,Herkimer,Little Falls City Court,2022,,,,,,
Grace ObomaLayat,Family Court Judge NYC,,2025-12-23,2035-12-22,Bronx,Bronx County Family Court,2023,,,,,,
Valerie A Pels,Family Court Judge NYC,,2021-04-01,2031-03-31,New York,New York County Family Court,2013,,,,,,
Michael J Yavinsky,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens,Queens Supreme Criminal Term,2009,,,,,,
Craig P Carriero,County Surrogate Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Franklin,Franklin County Court (M-B),2022,,,,,,
Stephen L Ukeiley,District Court Judge,ACT CNTY JGE,2022-01-01,2027-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2016,Suffolk,CJ/Outlying Districts,,,,
Scott M Krompinger,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,
Elizabeth L Fassler,Family Court Judge NYC,,2025-09-14,2035-09-13,Queens,Queens County Family Court,2019,,,,,,
Stephen W Cass,Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Chautauqua,Chautauqua County Surrogate,1999,,,,,,
Ronald D Ploetz,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Cattaraugus,Cattaraugus County Court (M-B),2007,,,,,,
Judith S Lieb,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2030-12-31,Bronx,Bronx County Supreme Court,1999,,,,,,
Danny K Chun,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,1999,,,,,,
Matthew J Sypniewski,County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Schenectady,Schenectady County Court,2011,,,,,,
Jared R Rice,City Court Judge,,2020-01-01,2029-12-31,Westchester,Westchester County Family Ct,2020,,,,,,
Shari R Michels,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Bronx,Bronx County Supreme Court,2007,,,,,,
James F Quinn,County Judge,ACT SUP CT JUS,2019-01-01,2026-12-31,Suffolk,Suffolk County Supreme Court,2009,,,,,,
Michael C Lopez,City Court Judge,,2019-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2019,,,,,,
Phillip DabneyJr,City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Erie,Buffalo City Court,2020,,,,,,
John P Feroleto,City Court Judge,,2026-01-01,2035-12-31,Erie,Buffalo City Court,2025,,,,,,
Daniel Cain,City Court Judge,,2026-01-01,2035-12-31,Chemung,Elmira City Court,2026,,,,,,
Anthony R Mole,County Surrogate Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Putnam,Putnam County Court (M-B),2021,,,,,,
Sara W McGinty,Surrogate Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Ulster,Ulster County Surrogate's Ct,2017,,,,,,
Brandon R Sall,Surrogate Court Judge,,2026-01-01,2030-12-31,Westchester,Westchester County Surrogate,2015,,,,,,
Steven W Brockett,City Court Judge,,2026-01-01,2029-12-31,Orange,Middletown City Court,2005,,,,,,
Philip Goglas,County Judge,ACT SUP CT JUS,2025-01-01,2029-12-31,Suffolk,Suffolk County Court,2011,,,,,,
Rebecca S Mensch,City Court Judge,,2024-01-01,2029-12-31,Dutchess,Beacon City Court,2001,,,,,,
George F Harkin,Family Court Judge,ACT SUP CT JUS,2026-01-01,2033-12-31,Suffolk,Suffolk County Court,2016,,,,,,
John N Dagon,City Court Judge,,2023-02-04,2029-02-03,Steuben,Hornell City Court,2023,,,,,,
Marva C Brown,Civil Court Judge NYC,,2024-01-01,2033-12-31,New York,New York County Criminal Court,2024,,,,,,
Joseph M Sorrentino,Criminal Court Judge NYC,,2024-09-04,2026-12-31,Bronx,NYC Criminal Ct - Bronx County,2024,,,,,,
Brett S Noonan,Family Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Broome,Broome County Family Court,2022,,,,,,
David J Whitcomb,City Court Judge,,2021-01-01,2026-12-31,Ontario,Canandaigua City Court,2021,,,,,,
Marisol Martinez Alonso,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York,New York County Criminal Court,2018,,,,,,
Wanda L Licitra,Criminal Court Judge NYC,,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2019,,,,,,
Norman A Sammut,District Court Judge,,2023-01-01,2027-12-31,Nassau,"Nassau District Ct, 2nd Dist",2022,,,,,,
Michael J Hartofilis,Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2030-12-31,Queens,Queens Supreme Criminal Term,2018,,,,,,
Michele M Johnson,District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,
Melissa B Deberry,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,"NYC Civil Court, Queens County",2025,,,,,,
Samuel L David,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-25,2031-12-31,Bronx,Bronx County Supreme Court,2024,,,,,,
Diane M Distefano,Family Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Chenango,Chenango County Court (M-B),2025,,,,,,
Philip N Pilmar,Criminal Court Judge NYC,,2025-10-21,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Indira D Khan,Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,Queens Supreme Criminal Term,2026,,,,,,
Malaika ScottMcLaughlinBland,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2019,,,,,,
Christina F DeJoseph,Family Court Judge,,2021-01-01,2030-12-31,Onondaga,Onondaga County Supreme Court,2021,,,,,,
Jacob Zelmanovitz,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Jeffrey A Gershuny,Criminal Court Judge NYC,,2022-01-01,2031-12-31,New York,New York County Criminal Court,2018,,,,,,
Robert G Bogle,County Judge,ACT SUP CT JUS,2026-01-01,2027-12-31,Nassau,Nassau County Court,2016,Nassau,Town & Villiage,,,,
Elizabeth J Newton,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2028-12-31,Queens,Queens County Family Court,2025,,,,,,
Michael H Goldman,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens,"NYC Civil Court, Queens County",2024,New York,Civil,,,,
Robert J Prisco,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Westchester,Westchester County Supreme Ct,2020,,,,,,
Shawn P Nickerson,City Court Judge,,2017-01-01,2026-12-31,Niagara,North Tonawanda City Court,2015,,,,,,
Tamika A Coverdale,City Court Judge,,2024-01-01,2033-12-31,Westchester,Mount Vernon City Court,2022,,,,,,
Monica D Shulman,Family Court Judge NYC,,2017-12-29,2027-12-28,Queens,Queens County Family Court,2016,,,,,,
Rosann O Orlando,District Court Judge,,2026-01-01,2031-12-31,Suffolk,"Suffolk Dist Ct, Second Dist",2020,,,,,,
Joaquin E Orellana,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Bronx,Bronx County Sup Ct Civil Term,2024,,,,,,
Charles G Mcquair,District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 4th Dist",2024,,,,,,
Craig Stephen Brown,County Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Orange,Orange County Court,2016,,,,,,
Tara A Collins,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,
Michael J Hartnett,Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Saratoga,Saratoga County Family Court,2023,,,,,,
